"2022","Audi","Q8","Premium","$71,995"
"2022","Audi","Q8","Premium Plus","$75,895"
"2022","Audi","Q8","Prestige","$82,095"
"2023","Audi","Q8","Premium","$72,995"
"2023","Audi","Q8","Premium Plus","$78,095"
"2023","Audi","Q8","Prestige","$83,895"
"2022","Audi","R8","V10","$150,195"
"2022","Audi","R8","V10 performance","$201,295"
"2022","Audi","RS 3","Standard","$59,995"
"2022","Audi","RS 5","Standard","$76,995"
"2023","Audi","RS 5","Standard","$76,995"
"2022","Audi","RS 6 Avant","Standard","$117,595"
"2023","Audi","RS 6 Avant","Standard","$119,995"
"2022","Audi","RS 7","Standard","$119,595"
"2023","Audi","RS 7","Standard","$121,995"
"2022","Audi","RS e-tron GT","Standard","$143,895"
"2022","Audi","RS Q8","Standard","$121,095"
"2022","Audi","S3","Premium","$46,895"
"2022","Audi","S3","Premium Plus","$49,695"
"2022","Audi","S3","Prestige","$53,495"
"2023","Audi","S3","Premium","$46,995"
"2023","Audi","S3","Premium Plus","$49,895"
"2023","Audi","S3","Prestige","$53,895"
"2022","Audi","S4","Premium","$52,995"
"2022","Audi","S4","Premium Plus","$56,595"
"2022","Audi","S4","Prestige","$61,295"
"2023","Audi","S4","Premium","$53,495"
"2023","Audi","S4","Premium Plus","$57,495"
"2023","Audi","S4","Prestige","$61,795"
"2022","Audi","S5","Premium","$56,395"
"2022","Audi","S5","Premium Plus","$59,995"
"2022","Audi","S5","Prestige","$64,495"
"2023","Audi","S5","Premium","$56,395"
"2023","Audi","S5","Premium Plus","$60,895"
"2023","Audi","S5","Prestige","$64,995"
"2022","Audi","S6","Premium Plus","$75,895"
"2022","Audi","S6","Prestige","$82,595"
"2022","Audi","S7","Premium Plus","$85,695"
"2022","Audi","S7","Prestige","$91,595"
"2022","Audi","S8","Standard","$117,995"
"2022","Audi","SQ5","Premium","$56,995"
"2022","Audi","SQ5","Premium Plus","$61,195"
"2022","Audi","SQ5","Prestige","$66,395"
"2023","Audi","SQ5","Premium","$56,995"
"2023","Audi","SQ5","Premium Plus","$61,695"
"2023","Audi","SQ5","Prestige","$66,895"
"2022","Audi","SQ7","Premium Plus","$89,695"
"2022","Audi","SQ7","Prestige","$94,695"
"2022","Audi","SQ8","Premium Plus","$94,695"
"2022","Audi","SQ8","Prestige","$100,895"
"2022","Audi","TT","2.0T","$51,595"
"2022","Audi","TT RS","Standard","$74,295"
"2022","Audi","TTS","2.0T","$61,295"
"2022","BMW","2 Series","228i","$36,695"
"2022","BMW","2 Series","230i","$37,345"
"2022","BMW","2 Series","M235i","$46,495"
"2022","BMW","2 Series","M240i","$49,545"
"2023","BMW","2 Series","228i","$37,595"
"2023","BMW","2 Series","230i","$38,395"
"2023","BMW","2 Series","M235i","$47,395"
"2023","BMW","2 Series","M240i","$48,895"
"2022","BMW","3 Series","330i","$42,445"
"2022","BMW","3 Series","330e","$43,945"
"2022","BMW","3 Series","M340i","$55,695"
"2023","BMW","3 Series","330i","$43,295"
"2023","BMW","3 Series","330e","$44,295"
"2023","BMW","3 Series","M340i","$55,845"
"2022","BMW","4 Series","430i","$46,195"
"2022","BMW","4 Series","M440i","$57,695"
"2023","BMW","4 Series","430i","$46,895"
"2023","BMW","4 Series","M440i","$58,445"
"2022","BMW","5 Series","530i","$55,195"
"2022","BMW","5 Series","540i","$60,945"
"2022","BMW","5 Series","530e","$56,545"
"2022","BMW","5 Series","M550i","$77,795"
"2023","BMW","5 Series","530i","$55,795"
"2023","BMW","5 Series","540i","$62,595"
"2023","BMW","5 Series","530e","$57,395"
"2023","BMW","5 Series","M550i","$80,895"
"2022","BMW","7 Series","740i","$87,795"
"2022","BMW","7 Series","745e","$96,895"
"2022","BMW","7 Series","750i","$103,995"
"2022","BMW","7 Series","M760i","$158,795"
"2022","BMW","7 Series","ALPINA B7","$144,195"
"2023","BMW","7 Series","740i","$94,295"
"2023","BMW","7 Series","760i","$114,595"
"2022","BMW","8 Series","840i","$85,995"
"2022","BMW","8 Series","M850i","$100,895"
"2022","BMW","8 Series","ALPINA B8","$140,895"
"2023","BMW","8 Series","840i","$88,495"
"2023","BMW","8 Series","M850i","$103,495"
"2023","BMW","8 Series","ALPINA B8","$145,895"
"2022","BMW","i4","eDrive40","$56,395"
"2022","BMW","i4","M50","$66,895"
"2023","BMW","i4","eDrive40","$56,895"
"2023","BMW","i4","M50","$68,295"
"2022","BMW","iX","xDrive50","$84,195"
"2023","BMW","iX","xDrive50","$85,095"
"2023","BMW","iX","M60","$109,895"
"2023","BMW","M3","Standard","$73,795"
"2023","BMW","M3","Competition","$77,695"
"2022","BMW","M4","Standard","$72,995"
"2022","BMW","M4","Competition","$75,895"
"2023","BMW","M4","Standard","$75,695"
"2023","BMW","M4","Competition","$79,595"
"2023","BMW","M4","CSL","$140,895"
"2022","BMW","M5","Standard","$104,695"
"2022","BMW","M5","CS","$142,995"
"2023","BMW","M5","Standard","$108,895"
"2023","BMW","M8","Competition","$135,095"
